id,question,A,B,C,Answerkey
1,What's your name?,He is Edison.,I'm Abu.,It's a book.,B
2,What's your name?,I'm fine.,How are you?,My name is Mia.,C
3,What's your name?,It's Rocky.,I am Teddy.,I'm ten.,B
4,How old are you?,I'm fine.,I'm ten.,Thank you.,B
5,How old are you?,You're welcome.,It's a pencil.,I'm seven years old.,C
6,How old are you?,I'm eight.,He is nine.,She is Mia.,A
7,What's this?,It's blue.,I'm Edison.,It's a book.,C
8,What's that?,It's an eraser.,I'm fine.,"Yes, it is.",A
9,What's this?,"No, it isn't.",It's a marker.,It's a red.,B
10,What color is it?,It's blue.,It's a pen.,I can swim.,A
11,What color is it?,It's a yellow dog.,It's yellow.,"No, it's not.",B
12,What color is it?,I'm ten.,It's a book.,It's white.,C
13,Is that a dog?,"Yes, I am.","No, I can't.","Yes, it is.",C
14,Is that a cat?,"No, I'm not.","No, it's not.",He's my father.,B
15,Is that a bird?,It's a green bird.,"Yes, it is.",I can jump.,B
16,What can you do?,I'm a student.,It's a big dog.,I can dance.,C
17,What can you do?,I can draw.,He can swim.,You're welcome.,A
18,What can you do?,She's tall.,I can read.,It's a ruler.,B
19,Can you swim?,"Yes, it is.","No, he isn't.","Yes, I can.",C
20,Can you jump?,"No, it's not.","No, I can't.",I'm fine.,B
21,Can you write?,I can write.,"Yes, I can.",She is a doctor.,B
22,Who's he?,She's my mother.,I'm Edison.,He's my father.,C
23,Who's she?,She's my sister.,He's my brother.,It's a cat.,A
24,Who's he?,He's my grandfather.,She's my grandmother.,He's tall.,A
25,Is he a student?,"Yes, I am.","Yes, he is.","No, she's not.",B
26,Is she a teacher?,"No, it isn't.","Yes, I can.","No, she's not.",C
27,Is he a doctor?,"Yes, he is.",He is a doctor.,She's a nurse.,A
28,Is she a nurse?,"Yes, he is.",I'm a cook.,"No, she isn't.",C
29,Is he a driver?,"No, I'm not.","Yes, he is.",It's a big car.,B
30,How are you?,I'm ten.,Nice to meet you.,I'm fine.,C
31,Nice to meet you.,"Nice to meet you, too.",Thank you.,Good morning.,A
32,Good morning.,Good night.,Goodbye.,Good morning.,C
33,Goodbye.,See you.,Try again.,I don't know.,A
34,Thank you.,That's right.,Cool!,You're welcome.,C
35,What's this?,I can sing.,It's a ruler.,She's my mother.,B
36,What color is it?,It's a green tree.,"Yes, it is.",It's green.,C
37,Is she a cook?,"Yes, she is.","Yes, he is.","No, I can't.",A
38,Can you sing?,I am sing.,"Yes, it is.","No, I can't.",C
39,Who's she?,He's my grandfather.,She's a doctor.,She's my grandmother.,C
40,How old are you?,I'm fine.,I'm nine.,It's nine.,B
41,What's that?,He is a student.,It's a pencil.,It's blue.,B
42,Is it a big dog?,"Yes, I am.","No, he's not.","Yes, it is.",C
43,Is he tall?,"Yes, he is.","Yes, she is.","No, it's not.",A
44,Is she short?,"No, he isn't.","No, she's not.","Yes, I can.",B
45,What's your name?,I'm eight.,He is Abu.,I am Rocky.,C
46,What color is it?,It's black.,It's a black pen.,"No, it isn't.",A
47,Can you draw?,I can draw.,"Yes, she is.","Yes, I can.",C
48,Is he a cook?,"No, she's not.","No, he's not.",I'm fine.,B
49,Who's he?,She's my sister.,He's my brother.,It's a small dog.,B
50,What's this?,It's yellow.,I'm Mia.,It's an eraser.,C
51,Is he a doctor?,"No, she's not.","Yes, it is.","No, he isn't.",C
52,What can you do?,I'm a student.,I can sing.,He can dance.,B
53,Is she a student?,"Yes, she is.","Yes, I am.","No, he's not.",A
54,Who's she?,He's my brother.,She is short.,She's my sister.,C
55,Is he a teacher?,"No, I'm not.","Yes, he is.","Yes, she is.",B
56,Can you dance?,I can dance.,"No, it's not.","Yes, I can.",C
57,What's that?,It's a pencil.,It's red.,I'm fine.,A
58,How old are you?,It's fifteen.,Thank you.,I'm fifteen.,C
59,Is that a cat?,"No, I'm not.","Yes, I can.","No, it isn't.",C
60,What color is it?,It's orange.,It's a book.,"Yes, it is.",A
61,Who's he?,He's my grandfather.,She's my grandmother.,I am a boy.,A
62,Is she a nurse?,"Yes, he is.","No, it isn't.","Yes, she is.",C
63,Can you read?,"No, I can't.",I am read.,"Yes, she is.",A
64,Is he a driver?,"Yes, she is.",I'm a driver.,"No, he's not.",C
65,Is she tall?,"Yes, he is.","Yes, she is.","No, it's not.",B
66,Is he short?,"No, she isn't.","Yes, I am.","No, he's not.",C
67,What's this?,It's a yellow eraser.,It's a yellow.,"Yes, it is.",A
68,What can you do?,I'm a cook.,She's my mother.,I can write.,C
69,Is that a bird?,"Yes, it is.","No, I'm not.",I can fly.,A
70,How are you?,I'm ten.,How are you?,I'm fine.,C
71,Nice to meet you.,Thank you.,Goodbye.,"Nice to meet you, too.",C
72,What's your name?,I'm ten.,My name is Edison.,He is Edison.,B
73,How old are you?,I'm twelve.,I'm fine.,You're welcome.,A
74,What's that?,"No, it isn't.",It's green.,It's a marker.,C
75,Is it a big dog?,"Yes, I am.","No, it's a small dog.","No, he's not.",B
76,Can you swim?,I can swim.,"Yes, it is.","Yes, I can.",C
77,Who's she?,She's my grandmother.,He's my grandfather.,She is a doctor.,A
78,Is he a student?,"No, she's not.","Yes, I am.","No, he's not.",C
79,What color is it?,It's a pink bird.,It's pink.,"No, it's not.",B
80,Is he a cook?,"Yes, she is.","Yes, he is.",I'm a cook.,B
81,What's this?,It's ruler.,I'm Abu.,It's a ruler.,C
82,Can you jump?,"No, I can't.","Yes, it is.",He can jump.,A
83,Is she a teacher?,"No, he's not.",I'm a teacher.,"Yes, she is.",C
84,Who's he?,He's my brother.,She's my sister.,He is tall.,A
85,Is that a dog?,"Yes, I can.","No, I'm not.","Yes, it is.",C
86,How old are you?,I'm fine.,I'm thirteen.,It's thirteen.,B
87,What can you do?,He can draw.,I can draw.,She is a nurse.,B
88,Is he a doctor?,"No, she isn't.",He is a doctor.,"Yes, he is.",C
89,Is she short?,"Yes, he is.","Yes, she is.","No, it's not.",B
90,What's your name?,I'm nine.,My name Teddy.,I'm Teddy.,C
91,What color is it?,It's a pen.,It's black.,"Yes, it is.",B
92,Is he your father?,"Yes, he is.","Yes, she is.",I'm his father.,A
93,Who's she?,He's my father.,I'm Mia.,She's my mother.,C
94,Can you write?,I can write.,"No, he can't.","Yes, I can.",C
95,Is she a nurse?,"No, she's not.","No, he's not.","Yes, I am.",A
96,What's that?,I'm a student.,It's green.,It's a book.,C
97,How are you?,I'm seven.,"I'm fine, thank you.",You're welcome.,B
98,Goodbye.,Good morning.,See you later.,Try again.,B
99,Is it a big cat?,"No, it's a small cat.","Yes, I can.","No, she isn't.",A
100,What's your name?,He is Amber.,It's Amber.,I am Amber.,C
